time,pelvic_tilt,pelvic_list,pelvic_rotation,pelvic_tx,pelvic_ty,pelvic_tz,lumbar_extension,lumbar_bending,lumbar_rotation,neck_flex,neck_tilt,neck_rot,neck_tx1,neck_ty1,neck_tz1,SternumRRotZ,SternumRRotX,SternumRRotY,SternumRX,SternumRY,SternumRZ,SternumLRotZ,SternumLRotX,SternumLRotY,SternumLX,SternumLY,SternumLZ,shoulder_add_r,shoulder_flex_r,shoulder_rot_r,elbow_flexion_r,elbow_varus_valg_r,pro_sup_r,wrist_dev_r,wrist_flex_r,shoulder_add_l,shoulder_flex_l,shoulder_rot_l,elbow_flexion_l,elbow_varus_valg_l,pro_sup_l,wrist_dev_l,wrist_flex_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_rotation_r,knee_adduction_r,knee_tz_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_rotation_l,knee_adduction_l,knee_tz_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l
12.19166667,-2.83172295,9.47657705,-82.0690304,0,0,0,8.60054995,-0.68577791,-5.65307806,24.72722138,0.63898833,5.42577089,-0.01238694,-0.04066107,0.03141158,0.0,0.0,0.0,0.03529584,0.0602234,-0.0235975,0.0,0.0,0.0,0.02404922,0.05566326,0.02414697,-173.27219982,20.84628262,-113.12089861,25.11328338,0.0,0.0,0.0,0.0,171.303848,18.26748923,93.93668555,22.07135469,0.0,0.0,0.0,0.0,15.47424452,-7.08547669,-4.39801705,-11.49185135,-10.90908961,-4.98473282,0.0,4.28137637,6.21453552,0.0,16.48946832,-6.71685785,-7.24597461,-13.2433017,3.61662784,-4.98473282,0.0,14.54717248,13.32648437,0.0
12.2,-2.8527536,9.37037628,-82.17113324,0,0,0,8.72259699,-0.68295922,-5.60028848,24.63781447,0.59985803,5.51040497,-0.01264487,-0.04062343,0.03186204,0.0,0.0,0.0,0.03512932,0.06196515,-0.02309336,0.0,0.0,0.0,0.02442437,0.05745865,0.02360541,-173.57637441,20.70047657,-112.70499211,24.20762101,0.0,0.0,0.0,0.0,171.91996106,18.01926461,93.17338274,20.68207809,0.0,0.0,0.0,0.0,14.95780449,-6.9870366,-4.39693134,-10.92378817,-10.75452971,-4.98473282,0.0,3.87044635,6.09056092,0.0,15.91354972,-6.82232069,-7.76776831,-12.57553211,4.03709773,-4.98473282,0.0,14.17664058,13.50532021,0.0
12.20833333,-2.91419513,9.47495597,-82.19974587,0,0,0,9.12272879,-0.67937318,-5.55184527,24.71210274,0.60590307,5.54168048,-0.0117526,-0.04037014,0.03210795,0.0,0.0,0.0,0.03446162,0.06411737,-0.02286364,0.0,0.0,0.0,0.02419581,0.05996715,0.02452125,-173.63653423,20.86269962,-112.58366618,23.87344074,0.0,0.0,0.0,0.0,172.01302508,18.180993,92.95793673,20.16503899,0.0,0.0,0.0,0.0,14.67693262,-6.90229063,-4.35610124,-10.39887037,-10.67848657,-4.98473282,0.0,3.57299807,6.10576047,0.0,15.6212391,-6.87134711,-7.80485402,-11.9586217,4.13662826,-4.98473282,0.0,13.80594025,13.55013984,0.0
12.21666667,-2.88166283,9.31113957,-82.29886173,0,0,0,9.10405228,-0.70166759,-5.48239534,24.46546067,0.52954277,5.6859378,-0.01292866,-0.04021916,0.03256371,0.0,0.0,0.0,0.03483259,0.065219,-0.02228868,0.0,0.0,0.0,0.02464069,0.06105601,0.0232008,-174.07223708,20.49955904,-112.29809554,22.82255949,0.0,0.0,0.0,0.0,172.92493784,17.81314648,92.04092708,18.28229536,0.0,0.0,0.0,0.0,14.1550813,-6.85523114,-4.53135327,-9.87068286,-10.5690396,-4.98473282,0.0,3.0693888,5.90846855,0.0,15.03129291,-6.93009199,-8.57589451,-11.32496736,4.60137385,-4.98473282,0.0,13.35255559,13.78445971,0.0
12.225,-2.79330569,8.97759135,-82.5765373,0,0,0,8.92560517,-0.76546112,-5.29592421,24.53476485,0.50723441,5.79733284,-0.01293734,-0.0402755,0.03313929,0.0,0.0,0.0,0.03435185,0.06641602,-0.02188251,0.0,0.0,0.0,0.02537239,0.06220093,0.0229895,-174.2622574,20.36910198,-111.89194511,22.18224642,0.0,0.0,0.0,0.0,173.45540393,17.35631481,90.3825709,17.00141326,0.0,0.0,0.0,0.0,13.46972301,-6.81972313,-4.57152524,-9.39429376,-10.07659394,-4.98473282,0.0,2.63944074,5.69955609,0.0,14.13728172,-7.01820828,-9.67978535,-10.58881227,5.3431532,-4.98473282,0.0,12.83593887,14.01269228,0.0
12.23333333,-2.84062295,9.07132143,-82.62521495,0,0,0,9.25834223,-0.74656418,-5.23435155,24.61477801,0.51998607,5.82666015,-0.01230188,-0.03995653,0.03315151,0.0,0.0,0.0,0.03371955,0.06797133,-0.02209799,0.0,0.0,0.0,0.02488002,0.06399228,0.02376018,-174.25862676,20.48635351,-111.85728828,22.01385451,0.0,0.0,0.0,0.0,173.46285327,17.53488424,90.20277503,16.68897839,0.0,0.0,0.0,0.0,13.26143181,-6.74123581,-4.58577615,-8.97127517,-10.04101566,-4.98473282,0.0,2.36203224,5.68361279,0.0,13.89746601,-7.05438815,-9.74580314,-10.06432971,5.40723076,-4.98473282,0.0,12.38816204,14.01476066,0.0
12.24166667,-2.85079437,9.1363257,-82.68770974,0,0,0,9.49421436,-0.769887,-5.17648856,24.62318233,0.50989304,5.88835717,-0.01241819,-0.0398913,0.03340495,0.0,0.0,0.0,0.03316849,0.06902506,-0.02180364,0.0,0.0,0.0,0.02426529,0.06520653,0.02410425,-174.34342444,20.48348017,-111.8358339,21.78051056,0.0,0.0,0.0,0.0,173.64281417,17.5916643,89.96810989,16.17773455,0.0,0.0,0.0,0.0,13.0413162,-6.70178253,-4.62709445,-8.55573307,-9.98556592,-4.98473282,0.0,1.95945556,5.68510325,0.0,13.65399708,-7.07157796,-9.89872818,-9.58898547,5.5061446,-4.98473282,0.0,11.82227708,14.05766562,0.0
12.25,-2.84435207,9.17384647,-82.75561345,0,0,0,9.61806806,-0.78288908,-5.1386448,24.63607272,0.50307098,5.90703711,-0.012906,-0.03955011,0.03339079,0.0,0.0,0.0,0.03269118,0.07010425,-0.02277834,0.0,0.0,0.0,0.02322918,0.06644604,0.0251798,-174.25595503,20.37951078,-111.87584558,21.66247266,0.0,0.0,0.0,0.0,173.57185042,17.62692884,89.9070152,15.93919904,0.0,0.0,0.0,0.0,12.94224269,-6.68230865,-4.62702737,-8.40455333,-9.95545814,-4.98473282,0.0,1.8819851,5.69110203,0.0,13.5554215,-7.09969222,-9.88594537,-9.47276083,5.57828908,-4.98473282,0.0,11.6248069,14.10663213,0.0
12.25833333,-2.60806283,8.67072468,-83.03707725,0,0,0,9.23003407,-0.9785415,-4.84595823,24.53405328,0.35382838,6.26570487,-0.01332169,-0.03959896,0.03467525,0.0,0.0,0.0,0.03286134,0.07002633,-0.02086139,0.0,0.0,0.0,0.02444046,0.06589386,0.02277808,-174.71885612,20.15016905,-111.67911089,20.86114539,0.0,0.0,0.0,0.0,174.76550989,17.17097809,87.99160818,13.94535604,0.0,0.0,0.0,0.0,12.07478673,-6.80266458,-4.87384535,-7.91516933,-9.37511369,-4.98473282,0.0,1.42563298,5.5721934,0.0,12.43593964,-7.00218614,-11.29222313,-8.64240157,6.32736912,-4.98473282,0.0,10.79339045,14.27360308,0.0
12.26666667,-2.64580398,8.71782467,-83.15209968,0,0,0,9.44532958,-0.93247545,-4.7776375,24.65724879,0.3691279,6.26459166,-0.0128232,-0.03947933,0.03440296,0.0,0.0,0.0,0.03307571,0.07047359,-0.02144362,0.0,0.0,0.0,0.02366083,0.0662588,0.02311661,-174.65849689,20.12742769,-111.66303454,20.89838267,0.0,0.0,0.0,0.0,174.66298342,17.30915216,87.77358311,13.9561794,0.0,0.0,0.0,0.0,11.94356322,-6.70946412,-4.9108484,-7.64431026,-9.34363846,-4.98473282,0.0,1.18953036,5.57653438,0.0,12.24717946,-7.06863604,-11.33663209,-8.36809294,6.39896802,-4.98473282,0.0,10.32036434,14.29158914,0.0
